Vtg,Vds,I
0.39,0.0,-0.16,-0.0,-0.0
0.39,0.0,-0.17,-0.0,0.0
0.39,0.0,-0.18,-0.0,0.0
0.39,0.0,-0.19,-0.0,0.0
0.39,0.0,-0.2,-0.0,0.0
0.38,0.0,0.4,2140134.313,2140134.313
0.38,0.0,0.39,2140110.426,2140110.426
0.38,0.0,0.38,2140075.29,2140075.29
0.38,0.0,0.37,2140023.619,2140023.619
0.38,0.0,0.36,2139947.657,2139947.657
0.38,0.0,0.35,2139836.03,2139836.03
0.38,0.0,0.34,2139672.102,2139672.102
0.38,0.0,0.33,2139431.599,2139431.599
0.38,0.0,0.32,2139078.549,2139078.549
0.38,0.0,0.31,2138562.493,2138562.493
0.38,0.0,0.3,2137810.124,2137810.124
0.38,0.0,0.29,2136717.371,2136717.371
0.38,0.0,0.28,2135138.918,2135138.918
0.38,0.0,0.27,2132876.227,2132876.227
0.38,0.0,0.26,2129665.841,2129665.841
0.38,0.0,0.25,2125171.079,2125171.079
0.38,0.0,0.24,2118981.005,2118981.005
0.38,0.0,0.23,2110620.471,2110620.471
0.38,0.0,0.22,2099563.62,2099563.62
0.38,0.0,0.21,2085260.746,2085260.746
0.38,0.0,0.2,2067147.912,2067147.912
0.38,0.0,0.19,2044650.229,2044650.229
0.38,0.0,0.18,2017172.723,2017172.723
0.38,0.0,0.17,1984085.414,1984085.414
0.38,0.0,0.16,1944709.107,1944709.107
0.38,0.0,0.15,1898306.685,1898306.685
0.38,0.0,0.14,1844082.571,1844082.571
0.38,0.0,0.13,1781136.602,1781136.602
0.38,0.0,0.12,1708759.144,1708759.144
0.38,0.0,0.11,1625910.833,1625910.833
0.38,0.0,0.1,1531817.517,1531817.517
0.38,0.0,0.09,1425752.253,1425752.253
0.38,0.0,0.08,1307157.164,1307157.164
0.38,0.0,0.07,1175762.618,1175762.618
0.38,0.0,0.06,1031632.655,1031632.655
0.38,0.0,0.05,875347.886,875347.886
0.38,0.0,0.04,708108.577,708108.577
0.38,0.0,0.03,531874.402,531874.402
0.38,0.0,0.02,349665.413,349665.413
0.38,0.0,0.01,167342.663,167342.663
0.38,0.0,-0.0,-0.0,-0.0
0.38,0.0,-0.01,-120495.893,-120495.893
0.38,0.0,-0.02,-159780.544,-159780.544
0.38,0.0,-0.03,-122708.58,-122708.58
0.38,0.0,-0.04,-61043.278,-61043.278
0.38,0.0,-0.05,-19869.08,-19869.08
0.38,0.0,-0.06,-4200.236,-4200.236
0.38,0.0,-0.07,-570.891,-570.891
0.38,0.0,-0.08,-49.413,-49.413
0.38,0.0,-0.09,-2.7,-2.7
0.38,0.0,-0.1,-0.092,-0.092
0.38,0.0,-0.11,-0.002,-0.002
0.38,0.0,-0.12,-0.0,-0.0
0.38,0.0,-0.13,-0.0,-0.0
0.38,0.0,-0.14,-0.0,-0.0
0.38,0.0,-0.15,-0.0,-0.0
0.38,0.0,-0.16,-0.0,-0.0
0.38,0.0,-0.17,-0.0,0.0
0.38,0.0,-0.18,-0.0,0.0
0.38,0.0,-0.19,-0.0,0.0
0.38,0.0,-0.2,-0.0,0.0
0.37,0.0,0.4,2127347.587,2127347.587
0.37,0.0,0.39,2127327.213,2127327.213
0.37,0.0,0.38,2127297.243,2127297.243
0.37,0.0,0.37,2127253.164,2127253.164
0.37,0.0,0.36,2127188.347,2127188.347
0.37,0.0,0.35,2127093.073,2127093.073
0.37,0.0,0.34,2126953.098,2126953.098
0.37,0.0,0.33,2126747.603,2126747.603
0.37,0.0,0.32,2126446.07,2126446.07
0.37,0.0,0.31,2126004.028,2126004.028
0.37,0.0,0.3,2125358.51,2125358.51
